rank,ticker,sector,composite_score,value_z,growth_z,quality_z,momentum_z,eps_momentum_z,piotroski,altman_zone,altman_zscore,rsi,price,ma_50,pct_from_52w_high,above_ma50,passes,pe_ratio,roce,debt_equity,revenue_cagr_3y,eps_cagr_3y
1,AIIL,Financial Services,2.4353,0.7664,0.0,-0.7888,-0.3403,12.5394,,,,59.8,551.95,507.94,17.4,True,True,22.7,13.8,0.0,,-10.497118571051656
2,BSE,Financial Services,1.4735,-0.7199,4.1089,2.5302,1.5515,-0.1032,,,,38.4,3647.9,3951.65,16.9,False,False,64.3,64.6,0.0,84.73694723036871,140.6926686827202
3,HBLENGINE,Capital Goods,1.1359,0.8144,2.8276,2.1922,-0.0516,-0.1032,7.0,Safe,5.68,34.2,730.65,786.13,33.3,False,False,24.7,59.4,0.03,34.05167845742114,102.71655769857335
4,MCX,Financial Services,1.1248,-0.8425,3.3075,2.0654,1.1968,-0.1032,,,,48.7,2818.0,2952.48,18.1,False,False,69.0,57.9,0.0,68.65521942809889,99.40886354719964
5,HCLTECH,Information Technology,1.0613,0.9143,-0.7369,1.8196,-1.3578,4.6677,5.0,Safe,4.45,62.7,1221.3,1138.0,27.3,True,False,18.5,53.9,0.04,5.3709151389855325,0.2550439981608754
6,WAAREEENER,Capital Goods,0.8917,0.9621,2.5128,1.178,-0.0911,-0.1032,5.0,Safe,3.59,38.5,2826.2,2993.11,24.4,False,False,19.4,42.8,0.15,47.56164571398935,77.62426646220032
7,GVT&D,Capital Goods,0.8225,-1.5768,0.0,3.133,2.6594,-0.1032,6.0,Safe,2.9,41.9,4444.9,4797.61,19.7,False,False,89.8,76.4,0.01,30.803882214148114,
8,FORCEMOT,Automobile and Auto Components,0.7709,0.9265,2.4094,0.6364,-0.0144,-0.1032,7.0,Safe,3.99,44.9,17910.0,18649.66,30.5,False,False,22.0,35.4,0.0,21.665537014111113,99.71580085157372
9,NATIONALUM,Metals & Mining,0.7703,1.318,0.8319,0.8016,1.0031,-0.1032,5.0,Safe,5.21,41.6,342.9,378.55,21.9,False,False,10.9,39.2,0.0,7.765539794311893,55.5788973666524
10,BPCL,Oil Gas & Consumable Fuels,0.7239,1.3861,2.5785,0.5557,-0.7975,-0.1032,6.0,Safe,3.0,59.7,317.6,302.43,18.2,True,True,5.26,32.1,0.22,-1.288137770485398,131.8422737470863
11,ACUTAAS,Healthcare,0.6941,-1.297,1.4632,0.379,3.0285,-0.1032,6.0,Safe,5.21,65.3,3656.2,3216.38,1.0,True,True,82.2,32.8,0.02,28.983534522156383,57.58597240303893
12,HINDZINC,Metals & Mining,0.6892,1.1452,-0.4748,3.1593,-0.2803,-0.1032,6.0,Safe,5.12,38.3,522.65,575.87,26.8,False,False,16.5,69.2,0.39,6.040646872752831,9.229124163777902
13,TMCV,Capital Goods,0.6418,0.8556,0.0,2.5341,-0.0772,-0.1032,6.0,Grey,2.54,47.4,409.35,396.67,18.1,True,True,25.7,59.9,0.25,,
14,GILLETTE,Fast Moving Consumer Goods,0.6236,0.3229,-0.0663,3.2588,-0.294,-0.1032,6.0,Safe,5.23,52.4,7816.0,7785.77,28.5,True,False,39.4,90.6,0.0,7.765205747031834,22.53119136097217
15,HINDCOPPER,Metals & Mining,0.6035,0.031,0.9742,1.0666,1.049,-0.1032,7.0,Safe,4.83,37.0,482.05,521.46,36.5,False,False,48.1,42.4,0.03,22.436766333255886,46.143342603894475
